ITYP,INR,Datum,Art,Betreff,DOKTYP,DOKTYP_LANG,HIS_URL,VHG,VHG2,Fraktionen,THEMEN,SW,EUROVOC,DocumentLinks
A,221,24.09.2003,A(E),Auftrag an die Zukunftskommission - Berücksichtigung der sozialen Problematik im Österreichischen Schulsystem,A(E),Selbständiger Entschließungsantrag,/gegenstand/XXII/A/221,ANTR,SELBST,"[""G""]","[""Bildung""]","[""BILDUNGSWESEN VIII""]","[""Bildung"",""Organisation des Unterrichtswesens""]","[{'title': 'Entschließungsantrag gescannt', 'link': '/dokument/XXII/A/221/imfname_008318.pdf', 'type': 'PDF'}, {'title': 'Entschließungsantrag textinterpretiert', 'link': '/dokument/XXII/A/221/fname_008335.pdf', 'type': 'PDF'}, {'title': 'Entschließungsantrag textinterpretiert', 'link': '/dokument/XXII/A/221/fnameorig_008335.html', 'type': 'HTML'}]"
A,236,22.10.2003,A(E),Aufnahme der Musik CD in den Anhang H der Richtlinie 92/77/CEE des Rates vom 19. Oktober 1992,A(E),Selbständiger Entschließungsantrag,/gegenstand/XXII/A/236,ANTR,SELBST,"[""G""]","[""Budget und Finanzen"",""Europäische Union"",""Inneres und Recht"",""Kultur""]","[""EUROPÄISCHE INTEGRATION"",""KUNST UND KULTUR"",""KUNST UND KULTUR"",""STEUERN UND GEBÜHREN"",""STEUERN UND GEBÜHREN"",""ZIVILRECHT"",""ZIVILRECHT""]","[""Bürgerliches Recht"",""Europäische Union"",""Kulturpolitik"",""Kunst"",""Steuerwesen""]","[{'title': 'Entschließungsantrag gescannt', 'link': '/dokument/XXII/A/236/imfname_009478.pdf', 'type': 'PDF'}, {'title': 'Entschließungsantrag textinterpretiert', 'link': '/dokument/XXII/A/236/fname_009482.pdf', 'type': 'PDF'}, {'title': 'Entschließungsantrag textinterpretiert', 'link': '/dokument/XXII/A/236/fnameorig_009482.html', 'type': 'HTML'}]"
A,241,22.10.2003,A(E),Programm zur Konjunkturbelebung,A(E),Selbständiger Entschließungsantrag,/gegenstand/XXII/A/241,ANTR,SELBST,"[""S""]","[""Wirtschaft""]","[""WIRTSCHAFTSPOLITIK""]","[""Wirtschaft""]","[{'title': 'Entschließungsantrag gescannt', 'link': '/dokument/XXII/A/241/imfname_009458.pdf', 'type': 'PDF'}, {'title': 'Entschließungsantrag textinterpretiert', 'link': '/dokument/XXII/A/241/fname_009473.pdf', 'type': 'PDF'}, {'title': 'Entschließungsantrag textinterpretiert', 'link': '/dokument/XXII/A/241/fnameorig_009473.html', 'type': 'HTML'}]"
A,279,12.11.2003,A(E),gesetzliche Regelungen für eine verstärkte Qualitätssicherung bei der Verwendung von Blut und Blutprodukten,A(E),Selbständiger Entschließungsantrag,/gegenstand/XXII/A/279,ANTR,SELBST,"[""S""]","[""Gesundheit und Ernährung"",""Information und Medien""]","[""DATENVERARBEITUNG"",""DATENVERARBEITUNG"",""GESUNDHEIT""]","[""Gesundheit"",""Informatik"",""Information und Informationsverarbeitung""]","[{'title': 'Entschließungsantrag gescannt', 'link': '/dokument/XXII/A/279/imfname_010662.pdf', 'type': 'PDF'}, {'title': 'Entschließungsantrag textinterpretiert', 'link': '/dokument/XXII/A/279/fname_010703.pdf', 'type': 'PDF'}, {'title': 'Entschließungsantrag textinterpretiert', 'link': '/dokument/XXII/A/279/fnameorig_010703.html', 'type': 'HTML'}]"
A,291,13.11.2003,A,"Handelsgesetzbuch, Änderung",A,Selbständiger Antrag,/gegenstand/XXII/A/291,ANTR,SELBST,"[""V"",""F""]","[""Inneres und Recht"",""Wirtschaft""]","[""ZIVILRECHT"",""WIRTSCHAFTSTREUHÄNDER:IN"",""WIRTSCHAFTSTREUHÄNDER:IN""]","[""Buchprüfung"",""Bürgerliches Recht""]","[{'title': 'Initiativantrag gescannt', 'link': '/dokument/XXII/A/291/imfname_010801.pdf', 'type': 'PDF'}, {'title': 'Initiativantrag textinterpretiert', 'link': '/dokument/XXII/A/291/fname_010827.pdf', 'type': 'PDF'}, {'title': 'Initiativantrag textinterpretiert', 'link': '/dokument/XXII/A/291/fnameorig_010827.html', 'type': 'HTML'}]"
A,294,03.12.2003,A,"Mietrechtsgesetz, Änderung",A,Selbständiger Antrag,/gegenstand/XXII/A/294,ANTR,SELBST,"[""S""]","[""Soziales""]","[""WOHNUNGSWESEN""]","[""Wohnungspolitik""]","[{'title': 'Initiativantrag gescannt', 'link': '/dokument/XXII/A/294/imfname_011943.pdf', 'type': 'PDF'}, {'title': 'Initiativantrag textinterpretiert', 'link': '/dokument/XXII/A/294/fname_011946.pdf', 'type': 'PDF'}, {'title': 'Initiativantrag textinterpretiert', 'link': '/dokument/XXII/A/294/fnameorig_011946.html', 'type': 'HTML'}]"
A,333,10.02.2004,A,1. Sozialversicherungs-Änderungsgesetz 2004 - 1. SVÄG 2004,A,Selbständiger Antrag,/gegenstand/XXII/A/333,ANTR,SELBST,"[""S""]","[""Soziales""]","[""SOZIALVERSICHERUNG I""]","[""soziale Sicherheit""]","[{'title': 'Initiativantrag gescannt', 'link': '/dokument/XXII/A/333/imfname_015688.pdf', 'type': 'PDF'}, {'title': 'Initiativantrag elektronisch übermittelt', 'link': '/dokument/XXII/A/333/fname_015692.pdf', 'type': 'PDF'}, {'title': 'Initiativantrag elektronisch übermittelt', 'link': '/dokument/XXII/A/333/fnameorig_015692.html', 'type': 'HTML'}]"
A,340,10.02.2004,A(E),fehlender Schutz der Kinder- und Babygesundheit vor gefährlichen Chemikalien in Polycarbonat-Babyflaschen,A(E),Selbständiger Entschließungsantrag,/gegenstand/XXII/A/340,ANTR,SELBST,"[""S""]","[""Gesundheit und Ernährung""]","[""GESUNDHEIT""]","[""Gesundheit""]","[{'title': 'Entschließungsantrag gescannt', 'link': '/dokument/XXII/A/340/imfname_015709.pdf', 'type': 'PDF'}, {'title': 'Entschließungsantrag textinterpretiert', 'link': '/dokument/XXII/A/340/fname_015827.pdf', 'type': 'PDF'}, {'title': 'Entschließungsantrag textinterpretiert', 'link': '/dokument/XXII/A/340/fnameorig_015827.html', 'type': 'HTML'}]"
A,342,25.02.2004,A,"Bundesstraßengesetz, Änderung",A,Selbständiger Antrag,/gegenstand/XXII/A/342,ANTR,SELBST,"[""S""]","[""Verkehr und Infrastruktur""]","[""ERSTE LESUNGEN"",""STRASSEN- UND BRÜCKENBAU""]","[""Gesetzgebungsverfahren"",""Straßen- und Brückenbau""]","[{'title': 'Initiativantrag gescannt', 'link': '/dokument/XXII/A/342/imfname_016897.pdf', 'type': 'PDF'}, {'title': 'Initiativantrag textinterpretiert', 'link': '/dokument/XXII/A/342/fname_016903.pdf', 'type': 'PDF'}, {'title': 'Initiativantrag textinterpretiert', 'link': '/dokument/XXII/A/342/fnameorig_016903.html', 'type': 'HTML'}]"
A,348,25.02.2004,A(E),Umsetzung der EU-Agrarreform in Österreich,A(E),Selbständiger Entschließungsantrag,/gegenstand/XXII/A/348,ANTR,SELBST,"[""G""]","[""Europäische Union"",""Land- und Forstwirtschaft""]","[""EUROPÄISCHE INTEGRATION"",""EUROPÄISCHE INTEGRATION"",""LAND- UND FORSTWIRTSCHAFT""]","[""Europäische Union"",""Land- und Forstwirtschaft, Fischerei""]","[{'title': 'Entschließungsantrag gescannt', 'link': '/dokument/XXII/A/348/imfname_016942.pdf', 'type': 'PDF'}, {'title': 'Entschließungsantrag elektronisch übermittelt', 'link': '/dokument/XXII/A/348/fname_016959.pdf', 'type': 'PDF'}, {'title': 'Entschließungsantrag elektronisch übermittelt', 'link': '/dokument/XXII/A/348/fnameorig_016959.html', 'type': 'HTML'}]"
