ITYP,INR,Datum,Art,Betreff,DOKTYP,DOKTYP_LANG,HIS_URL,VHG,VHG2,Fraktionen,THEMEN,SW,EUROVOC,DocumentLinks
A,270,10.07.1996,A(E),Nationalpark Donau-Auen,A(E),Selbständiger Entschließungsantrag,/gegenstand/XX/A/270,ANTR,SELBST,"[""S"",""V""]","[""Klima, Umwelt und Energie""]","[""UMWELTSCHUTZ""]","[""Umwelt""]","[{'title': 'Entschließungsantrag textinterpretiert', 'link': '/dokument/XX/A/270/fname_124608.pdf', 'type': 'PDF'}, {'title': 'Entschließungsantrag textinterpretiert', 'link': '/dokument/XX/A/270/fnameorig_124608.html', 'type': 'HTML'}]"
A,277,12.07.1996,A,"(Energieabgabenvergütungsgesetz,",A,Selbständiger Antrag,/gegenstand/XX/A/277,ANTR,SELBST,"[""F""]","[""Budget und Finanzen""]","[""STEUERN UND GEBÜHREN""]","[""Steuerwesen""]","[{'title': 'Initiativantrag textinterpretiert', 'link': '/dokument/XX/A/277/fname_124611.pdf', 'type': 'PDF'}, {'title': 'Initiativantrag textinterpretiert', 'link': '/dokument/XX/A/277/fnameorig_124611.html', 'type': 'HTML'}]"
A,298,20.09.1996,A,"Jugendgerichtsgesetz, Änderung",A,Selbständiger Antrag,/gegenstand/XX/A/298,ANTR,SELBST,"[""G""]","[""Inneres und Recht""]","[""STRAFRECHT""]","[""Strafrecht""]","[{'title': 'Initiativantrag textinterpretiert', 'link': '/dokument/XX/A/298/fname_124631.pdf', 'type': 'PDF'}, {'title': 'Initiativantrag textinterpretiert', 'link': '/dokument/XX/A/298/fnameorig_124631.html', 'type': 'HTML'}]"
A,302,02.10.1996,A,"Familienlastenausgleichsgesetz, Änderung",A,Selbständiger Antrag,/gegenstand/XX/A/302,ANTR,SELBST,"[""G""]","[""Familie und Generationen""]","[""FAMILIENLASTENAUSGLEICH""]","[""Familienleistungsausgleich""]","[{'title': 'Initiativantrag textinterpretiert', 'link': '/dokument/XX/A/302/fname_124638.pdf', 'type': 'PDF'}, {'title': 'Initiativantrag textinterpretiert', 'link': '/dokument/XX/A/302/fnameorig_124638.html', 'type': 'HTML'}]"
A,305,02.10.1996,A(E),"Schaffung einer ""ewigen Anwartschaft"" in der Arbeitslosenversicherung",A(E),Selbständiger Entschließungsantrag,/gegenstand/XX/A/305,ANTR,SELBST,"[""F""]","[""Parlament und Demokratie"",""Soziales""]","[""GESCHÄFTSORDNUNG DES NATIONALRATES"",""SOZIALVERSICHERUNG V"",""GO-NR SONSTIGE GESCHÄFTSORDNUNGSANGELEGENHEITEN""]","[""Arbeitslosenversicherung"",""Geschäftsordnung des Parlaments""]","[{'title': 'Entschließungsantrag textinterpretiert', 'link': '/dokument/XX/A/305/fname_124645.pdf', 'type': 'PDF'}, {'title': 'Entschließungsantrag textinterpretiert', 'link': '/dokument/XX/A/305/fnameorig_124645.html', 'type': 'HTML'}]"
A,308,03.10.1996,A(E),"Sicherstellung der Dotierung des ""Nationalfonds zur besonderen Hilfe für Behinderte",A(E),Selbständiger Entschließungsantrag,/gegenstand/XX/A/308,ANTR,SELBST,"[""L""]","[""Soziales""]","[""MENSCHEN MIT BEHINDERUNG""]","[""Behinderter""]","[{'title': 'Entschließungsantrag textinterpretiert', 'link': '/dokument/XX/A/308/fname_124642.pdf', 'type': 'PDF'}, {'title': 'Entschließungsantrag textinterpretiert', 'link': '/dokument/XX/A/308/fnameorig_124642.html', 'type': 'HTML'}]"
A,315,31.10.1996,A,"Arbeitslosenversicherungsgesetz, Änderung",A,Selbständiger Antrag,/gegenstand/XX/A/315,ANTR,SELBST,"[""L""]","[""Soziales""]","[""SOZIALVERSICHERUNG V""]","[""Arbeitslosenversicherung""]","[{'title': 'Initiativantrag textinterpretiert', 'link': '/dokument/XX/A/315/fname_124655.pdf', 'type': 'PDF'}, {'title': 'Initiativantrag textinterpretiert', 'link': '/dokument/XX/A/315/fnameorig_124655.html', 'type': 'HTML'}]"
A,321,31.10.1996,A,"Postsparkassensgesetzes 1969,",A,Selbständiger Antrag,/gegenstand/XX/A/321,ANTR,SELBST,"[""S"",""V""]","[""Budget und Finanzen""]","[""KREDITWESEN""]","[""Finanzwesen""]","[{'title': 'Initiativantrag textinterpretiert', 'link': '/dokument/XX/A/321/fname_124660.pdf', 'type': 'PDF'}, {'title': 'Initiativantrag textinterpretiert', 'link': '/dokument/XX/A/321/fnameorig_124660.html', 'type': 'HTML'}]"
A,324,31.10.1996,A,Bundes-Verfassungsgesetz und Übergangsgesetz,A,Selbständiger Antrag,/gegenstand/XX/A/324,ANTR,SELBST,"[""V"",""S""]","[""Inneres und Recht""]","[""BUNDESVERFASSUNG""]","[""Verfassung""]","[{'title': 'Initiativantrag textinterpretiert', 'link': '/dokument/XX/A/324/fname_124657.pdf', 'type': 'PDF'}, {'title': 'Initiativantrag textinterpretiert', 'link': '/dokument/XX/A/324/fnameorig_124657.html', 'type': 'HTML'}]"
A,332,28.11.1996,A(E),Finanzierung von Kernkraftwerken durch (EBRD),A(E),Selbständiger Entschließungsantrag,/gegenstand/XX/A/332,ANTR,SELBST,"[""G""]","[""Klima, Umwelt und Energie""]","[""ATOMENERGIE""]","[""Elektrizitäts- und Kernkraftindustrie""]","[{'title': 'Entschließungsantrag textinterpretiert', 'link': '/dokument/XX/A/332/fname_124670.pdf', 'type': 'PDF'}, {'title': 'Entschließungsantrag textinterpretiert', 'link': '/dokument/XX/A/332/fnameorig_124670.html', 'type': 'HTML'}]"
