ITYP,INR,Datum,Art,Betreff,DOKTYP,DOKTYP_LANG,HIS_URL,VHG,VHG2,Fraktionen,THEMEN,SW,EUROVOC,DocumentLinks
AA,71,22.11.2000,AA,ZDG-Novelle 2001,AA,Abänderungsantrag,/gegenstand/XXI/AA/71,ANTR,AA,"[""G""]",,,,[]
AA,91,14.12.2000,AA,Katastrophenfondsgesetz und Verfütterung von tierischem Protein,AA,Abänderungsantrag,/gegenstand/XXI/AA/91,ANTR,AA,"[""S""]",,,,[]
AA,108,02.04.2001,AA,"Allgemeines Sozialversicherungsgesetz, Gewerbliches Sozialversicherungsgesetz, Bauern-Sozialversicherungsgesetz und Beamten-Kranken- und Unfallversicherungsgesetz; Änderung",AA,Abänderungsantrag,/gegenstand/XXI/AA/108,ANTR,AA,"[""F"",""V""]",,,,[]
AA,109,02.04.2001,AA,"Allgemeines Sozialversicherungsgesetz, Gewerbliches Sozialversicherungsgesetz, Bauern-Sozialversicherungsgesetz und Beamten-Kranken- und Unfallversicherungsgesetz; Änderung",AA,Abänderungsantrag,/gegenstand/XXI/AA/109,ANTR,AA,"[""S""]",,"[""ABSTIMMUNGEN, NAMENTLICHE""]","[""namentliche Abstimmung""]",[]
AA,144,05.07.2001,AA,Universitäts-Studiengesetz geändert wird,AA,Abänderungsantrag,/gegenstand/XXI/AA/144,ANTR,AA,"[""S"",""G""]",,,,[]
AA,163,23.10.2001,AA,Gleichbehandlung von Frau und Mann im Arbeitsleben,AA,Abänderungsantrag,/gegenstand/XXI/AA/163,ANTR,AA,"[""S""]",,,,[]
AA,165,23.10.2001,AA,Jugendausbildungs-Sicherungsgesetz geändert wird,AA,Abänderungsantrag,/gegenstand/XXI/AA/165,ANTR,AA,"[""S""]",,,,[]
AA,168,21.11.2001,AA,Verwaltungsreformgesetz 2001,AA,Abänderungsantrag,/gegenstand/XXI/AA/168,ANTR,AA,"[""F"",""V""]",,,,[]
AA,211,20.03.2002,AA,Vereinsgesetz 2002 - VerG,AA,Abänderungsantrag,/gegenstand/XXI/AA/211,ANTR,AA,"[""V"",""F""]",,,,[]
A,551,22.11.2001,A(E),Vertriebsverordnung nach dem Medizinproduktegesetz (MPG),A(E),Selbständiger Entschließungsantrag,/gegenstand/XXI/A/551,ANTR,SELBST,"[""S""]","[""Gesundheit und Ernährung"",""Wirtschaft""]","[""GESUNDHEIT"",""HANDEL, GEWERBE UND INDUSTRIE"",""HANDEL, GEWERBE UND INDUSTRIE""]","[""Gesundheit"",""Handel"",""Industrie"",""Unternehmen und Wettbewerb""]","[{'title': 'Entschließungsantrag (gescanntes Original)', 'link': '/dokument/XXI/A/551/fname_600414.pdf', 'type': 'PDF'}, {'title': 'Entschließungsantrag (gescanntes Original)', 'link': '/dokument/XXI/A/551/fnameorig_600414.html', 'type': 'HTML'}]"
