Datum	F	G	S	V
2000-07-06	Öffentliche Finanzen und Haushaltspolitik|Geschäftsordnung des Parlaments|Haushaltskontrolle|Verfassungsgerichtsbarkeit|Verwaltungsgerichtsbarkeit|Öffentliche Finanzen und Haushaltspolitik|Tiermedizin|Tierschutz|Land- und Forstwirtschaft, Fischerei|Tiermedizin|Tierschutz	Tiermedizin|Tierschutz|Bildung|Organisation des Unterrichtswesens|Öffentliche Finanzen und Haushaltspolitik|Land- und Forstwirtschaft, Fischerei|Umwelt|Wasser|Wasserbewirtschaftung	Gesundheit|Handel|Industrie|Unternehmen und Wettbewerb|Finanzwesen|Finanzwesen|Gesundheit|Gesundheit|Informatik|Information und Informationsverarbeitung|Opferhilfe|Tiermedizin|Tierschutz|Gesundheit|Beschäftigung und Arbeitsbedingungen|Strafrecht|Tiermedizin|Tierschutz|Handel|Industrie|Unternehmen und Wettbewerb|Tiermedizin|Tierschutz|Bildung|Gesundheit|Organisation des Unterrichtswesens|Öffentliche Finanzen und Haushaltspolitik|Agrarerzeugnisse und Lebensmittel|Land- und Forstwirtschaft, Fischerei|Strafrecht|Tiermedizin|Tierschutz|Notar|Rechtsanwalt|Wohnungspolitik|Öffentliche Finanzen und Haushaltspolitik|öffentliche Sicherheit|Verteidigung|Land- und Forstwirtschaft, Fischerei|Land- und Forstwirtschaft, Fischerei	Öffentliche Finanzen und Haushaltspolitik|Geschäftsordnung des Parlaments|Haushaltskontrolle|Verfassungsgerichtsbarkeit|Verwaltungsgerichtsbarkeit|Öffentliche Finanzen und Haushaltspolitik|Tiermedizin|Tierschutz|Land- und Forstwirtschaft, Fischerei|Tiermedizin|Tierschutz
2000-07-07	Elektrizitätsindustrie|Verfassung|Hochschulausbildung	Behinderter|Straßenverkehr|Behinderter|Gesundheit|Schienentransport|Steuerwesen|Behinderter|Gesundheit|ethnische Gruppe|Gesetzgebungsverfahren|ethnische Gruppe|Hochschulausbildung	Gesundheit|Menschenrechte|Opferhilfe|Hochschulausbildung|Bildung|Organisation des Unterrichtswesens	Elektrizitätsindustrie|Verfassung|Hochschulausbildung
2000-09-05	Elektrizitäts- und Kernkraftindustrie|Umwelt	Elektrizitäts- und Kernkraftindustrie|Elektrizitäts- und Kernkraftindustrie|Umwelt	öffentliche Verwaltung|öffentlicher Dienst|Elektrizitäts- und Kernkraftindustrie|Umwelt|Steuerwesen|Land- und Forstwirtschaft, Fischerei|Steuerwesen|Öffentliche Finanzen und Haushaltspolitik	Elektrizitäts- und Kernkraftindustrie|Umwelt
2000-09-20	Strafrecht|Handel|Industrie|Unternehmen und Wettbewerb|Hochschulausbildung|Umwelt|Europäische Union	Umwelt|Bauindustrie und öffentliches Bauwesen|Baupolitik|Energie|öffentliches Eigentum|Umwelt|Bürgerliches Recht|Tourismus|Exekutive|Misstrauensantrag|Umwelt	Arbeitsrecht|Frau|Gleichbehandlung|Verfassung|Land- und Forstwirtschaft, Fischerei|partizipative Demokratie|Wasser|Wasserbewirtschaftung|Arbeitsrecht|Gesetzgebungsverfahren|Straßenverkehr|Steuerwesen|Kulturpolitik|Kunst|Exekutive|Internationale Beziehungen|Hochschulausbildung|Exekutive|Misstrauensantrag|Exekutive|diplomatische Beziehungen|Umwelt	Strafrecht|Handel|Industrie|Unternehmen und Wettbewerb|Hochschulausbildung|Umwelt|Europäische Union
2000-09-21	junger Mensch|junger Mensch|namentliche Abstimmung|Schienentransport|Gesundheit|namentliche Abstimmung	Gesundheit|Gesetzgebungsverfahren|Straßenverkehr|Hochschulausbildung	Gesetzgebungsverfahren|Gesundheit|Gesetzgebungsverfahren|Gesundheit|Gesundheit|Sozialpolitik|Sozialpolitik|Gesundheit|Gliedstaat|namentliche Abstimmung|namentliche Abstimmung|Schienentransport	junger Mensch|junger Mensch|namentliche Abstimmung|Schienentransport|Gesundheit|namentliche Abstimmung
2000-10-04	ausländischer Staatsangehöriger|Europäische Union|Flüchtling			ausländischer Staatsangehöriger|Europäische Union|Flüchtling
2000-10-12	Ausbildungsbeihilfe|Hochschulausbildung|Öffentliche Finanzen und Haushaltspolitik	Steuerwesen|soziale Sicherheit|Behinderter|Öffentliche Finanzen und Haushaltspolitik|Behinderter|Steuerwesen	soziale Sicherheit|soziale Sicherheit|Arbeitslosenversicherung|soziale Sicherheit|soziale Sicherheit|Arbeitslosenversicherung|Beschäftigung und Arbeitsbedingungen|soziale Sicherheit|Sozialpolitik|Arbeitslosenversicherung|Familie|soziale Sicherheit|soziale Sicherheit|Arbeitsrecht|Familie|soziale Sicherheit|Arbeitslosenversicherung|Arbeitslosenversicherung|Arbeitslosenversicherung|Schienentransport|Steuerwesen|soziale Sicherheit|Hochschulausbildung|Flüchtling|soziale Sicherheit|Arbeitslosenversicherung|Arbeitslosenversicherung|Familienleistungsausgleich|soziale Sicherheit|Sozialpolitik|Steuerwesen	Ausbildungsbeihilfe|Hochschulausbildung|Öffentliche Finanzen und Haushaltspolitik
2000-10-13	Elektrizitäts- und Kernkraftindustrie|Elektrizitätsindustrie|Energie	Elektrizitäts- und Kernkraftindustrie|Elektrizitätsindustrie|Energie	Elektrizitäts- und Kernkraftindustrie|Elektrizitätsindustrie|Energie	Elektrizitäts- und Kernkraftindustrie|Elektrizitätsindustrie|Energie
2000-10-18	Verfassung|ausländischer Staatsangehöriger|direkt gewählte Kammer|Berufsverband|Bildung|Organisation des Unterrichtswesens|Politische Partei			Verfassung|ausländischer Staatsangehöriger|direkt gewählte Kammer|Bildung|Organisation des Unterrichtswesens|Politische Partei
2000-10-19	Handel|Industrie|Politik der Zusammenarbeit|Unternehmen und Wettbewerb|Bürgerliches Recht|soziale Sicherheit|Informatik|Information und Informationsverarbeitung|Strafrecht	soziale Sicherheit|Handel|Industrie|Politik der Zusammenarbeit|Unternehmen und Wettbewerb|Internationale Beziehungen|Menschenrechte|Gesundheit	soziale Sicherheit|Handel|Industrie|Politik der Zusammenarbeit|Unternehmen und Wettbewerb|Menschenrechte|namentliche Abstimmung|Internationale Beziehungen|Menschenrechte|Gesundheit	Handel|Industrie|Politik der Zusammenarbeit|Unternehmen und Wettbewerb|Bürgerliches Recht|soziale Sicherheit|Informatik|Information und Informationsverarbeitung|Strafrecht
