Datum	A	B	F	G	S	T	V
2010-05-20		Frau|Gleichbehandlung|Bildung|Organisation des Unterrichtswesens|Gesundheit|junger Mensch|Bildung|Organisation des Unterrichtswesens|Sport|Grenze|Arbeitsrecht|Bildung|Organisation des Unterrichtswesens|Handel|Industrie|Unternehmen und Wettbewerb|Zolltarifpolitik|Familie|Gesundheit|junger Mensch|Gesundheit|Behinderter|Bildung|Europäische Union|Organisation des Unterrichtswesens|Straßenverkehr|Tourismus|Gesundheit|Beschäftigung und Arbeitsbedingungen|junger Mensch|Elektrizitätsindustrie|Preis	Strafrecht|Gesundheit|Museum|Bildung|Organisation des Unterrichtswesens|Sport|Museum|Bildung|Organisation des Unterrichtswesens|Energie|Kulturpolitik|Kunst|Verfassung|Behinderter|Bildung|Organisation des Unterrichtswesens|Elektrizitätsindustrie|Elektrizitäts- und Kernkraftindustrie|Bildung|Europäische Union|Organisation des Unterrichtswesens|Straßenverkehr|Tourismus|Gesundheit|öffentliche Sicherheit|junger Mensch|Sozialpolitik|Beschäftigung und Arbeitsbedingungen|junger Mensch|Bauindustrie und öffentliches Bauwesen|Baupolitik|Öffentliche Finanzen und Haushaltspolitik|Verteidigung	Bildung|Organisation des Unterrichtswesens|Sport|Bildung|Europäische Union|Organisation des Unterrichtswesens|Straßenverkehr|Tourismus|Exekutive|Misstrauensantrag	Europäische Union|Handel|Industrie|Unternehmen und Wettbewerb|Gesundheit|Sport|Bildung|Organisation des Unterrichtswesens|Sport|Handel|Industrie|Unternehmen und Wettbewerb|Bildung|Europäische Union|Organisation des Unterrichtswesens|Straßenverkehr|Tourismus		Europäische Union|Handel|Industrie|Unternehmen und Wettbewerb|Gesundheit|Sport|Bildung|Organisation des Unterrichtswesens|Sport|Handel|Industrie|Unternehmen und Wettbewerb|Bildung|Europäische Union|Organisation des Unterrichtswesens|Straßenverkehr|Tourismus
2010-06-16	Schienentransport	Gesundheit|Handel|Industrie|soziale Sicherheit|Unternehmen und Wettbewerb|Finanzwesen|Glücksspiel	Europarat|Frau|Gleichbehandlung|Kulturpolitik|Kunst|Post- und Fernmeldewesen|Verteidigung|Strafrecht|Elektrizitätsindustrie|Kulturpolitik|Kunst|Glücksspiel|Schienentransport	Behinderter|junger Mensch|Schienentransport|Post- und Fernmeldewesen|Handel|Industrie|Unternehmen und Wettbewerb|Arbeitsrecht|direkt gewählte Kammer|Arbeitsrecht|Energie|Steuerwesen|Straßen- und Brückenbau|Umwelt|junger Mensch|Gesundheit|Glücksspiel|Steuerwesen|Glücksspiel	Glücksspiel		Glücksspiel
2010-06-17	Verteidigung	Parlamentsdebatte|Schienentransport|Elektrizitäts- und Kernkraftindustrie|Bauindustrie und öffentliches Bauwesen|Baupolitik|soziale Sicherheit|Bauindustrie und öffentliches Bauwesen|Baupolitik|Kulturpolitik|Kunst	öffentliche Verwaltung|öffentlicher Dienst|Verteidigung|Verwaltungsrecht|öffentliche Verwaltung|öffentlicher Dienst|Verteidigung|Tiermedizin|Tierschutz|Frau|Gleichbehandlung|Verteidigung|Verteidigung|direkt gewählte Kammer	Bildung|Informatik|Information und Informationsverarbeitung|Organisation des Unterrichtswesens|Erwachsenenbildung|öffentliche Verwaltung|öffentlicher Dienst|Schienentransport|Straßen- und Brückenbau|Verkehr	Haushaltskontrolle|Verfassung|Schienentransport|direkt gewählte Kammer|Einkommen|Verfassung|Verwaltung und Entlohnung des Personals|Museum|Öffentliche Finanzen und Haushaltspolitik|Europäische Union|Finanzwesen|Sekundarstufe|Bildung|Organisation des Unterrichtswesens		Schienentransport|Haushaltskontrolle|Verfassung|direkt gewählte Kammer|Einkommen|Verfassung|Verwaltung und Entlohnung des Personals|Museum|Öffentliche Finanzen und Haushaltspolitik|Europäische Union|Finanzwesen|Sekundarstufe|Bildung|Organisation des Unterrichtswesens
2010-06-30			Gliedstaat|Museum|Öffentliche Finanzen und Haushaltspolitik	Museum|Verwaltungsorganisation	Museum|Verwaltungsorganisation|Gliedstaat|Museum|Öffentliche Finanzen und Haushaltspolitik|Informatik|Information und Informationsverarbeitung|Sozialpolitik		Informatik|Information und Informationsverarbeitung|Sozialpolitik
2010-07-01				Arbeitsrecht|Informatik|Information und Informationsverarbeitung|Strafrecht|Gesundheit	Arbeitsrecht|Informatik|Information und Informationsverarbeitung|Strafrecht|Elektrizitäts- und Kernkraftindustrie|Gesundheit		Arbeitsrecht|Informatik|Information und Informationsverarbeitung|Strafrecht|Elektrizitäts- und Kernkraftindustrie|Gesundheit
2010-07-07		Land- und Forstwirtschaft, Fischerei	Einkommen|Frau|Gleichbehandlung|Verwaltung und Entlohnung des Personals|Bauindustrie und öffentliches Bauwesen|Baupolitik|Gesetzgebungsverfahren|Haushaltskontrolle|Verfassung|Wohnungspolitik|Bauindustrie und öffentliches Bauwesen|Baupolitik|Gesetzgebungsverfahren|Haushaltskontrolle|Wohnungspolitik|Bauindustrie und öffentliches Bauwesen|Baupolitik|Haushaltskontrolle|Wohnungspolitik|direkt gewählte Kammer|öffentliche Sicherheit|öffentliches Eigentum|Verteidigung|Handel|Industrie|Tiermedizin|Tierschutz|Unternehmen und Wettbewerb|Sekundarstufe|Finanzwesen|Politik der Zusammenarbeit|Verwaltungsorganisation|Tiermedizin|Tierschutz|Bauindustrie und öffentliches Bauwesen|Baupolitik|Gesetzgebungsverfahren|Haushaltskontrolle|Wohnungspolitik|Bauindustrie und öffentliches Bauwesen|Baupolitik|Gesetzgebungsverfahren|Wohnungspolitik|Familie|Gesetzgebungsverfahren|Steuerwesen|Arbeitslosenversicherung|Finanzwesen|Filmindustrie	Filmindustrie|Hochschulausbildung|Familie|Gliedstaat|Öffentliche Finanzen und Haushaltspolitik|Strafrecht|Abfall|Abfallwirtschaft|Umwelt|Behinderter|Gesundheit|soziale Sicherheit|Handel|Industrie|Unternehmen und Wettbewerb|Staatsangehöriger|Flüchtling|junger Mensch|Handel|Industrie|Unternehmen und Wettbewerb|Familienleistungsausgleich|soziale Sicherheit|Abfall|Abfallwirtschaft|Handel|Industrie|Unternehmen und Wettbewerb|Verfassungsgerichtsbarkeit|Verwaltungsgerichtsbarkeit|Arbeitsrecht|Familie|Abfall|Abfallwirtschaft|Umwelt|Frau|Gleichbehandlung|Kulturpolitik|Kunst|Gliedstaat|Museum|Öffentliche Finanzen und Haushaltspolitik			
2010-07-08		Bildung|Organisation des Unterrichtswesens|Sport|Sport|Gesetzgebungsverfahren|Sozialpolitik|Verfassung	Primarstufe|öffentliche Verwaltung|öffentlicher Dienst		Versicherungswesen		Versicherungswesen
2010-07-09	Gesundheit|namentliche Abstimmung|soziale Sicherheit	Beschäftigung und Arbeitsbedingungen|Tourismus|Familie|Föderalismus|Gliedstaat|öffentliche Verwaltung|öffentlicher Dienst|Strafrecht|Familienleistungsausgleich|junger Mensch|junger Mensch|Straßenverkehr|Agrarerzeugnisse und Lebensmittel|Informatik|Information und Informationsverarbeitung|Verteidigung|Gerichtswesen|Steuerwesen|Ausweis|Behinderter|Gesundheit|ausländischer Staatsangehöriger|Flüchtling|öffentliche Sicherheit|Handel|Industrie|Unternehmen und Wettbewerb|See- und Binnenschiffsverkehr|Tourismus|Opferhilfe|Strafrecht	Beschäftigung und Arbeitsbedingungen|Tourismus|ausländischer Staatsangehöriger|Parlamentsdebatte|Agrarerzeugnisse und Lebensmittel|Informatik|Information und Informationsverarbeitung|Europäische Union|Flüchtling|Gesundheit|Zivilschutz|Steuerwesen|Wohnungspolitik|Finanzwesen|Strafrecht|See- und Binnenschiffsverkehr|Tourismus|Opferhilfe|Strafrecht	Beschäftigung und Arbeitsbedingungen|Tourismus|Agrarerzeugnisse und Lebensmittel|Informatik|Information und Informationsverarbeitung|Exekutive|Politische Partei|Energie|Umwelt|See- und Binnenschiffsverkehr|Tourismus|Opferhilfe|Strafrecht	Beschäftigung und Arbeitsbedingungen|Tourismus|Agrarerzeugnisse und Lebensmittel|Informatik|Information und Informationsverarbeitung|Bauindustrie und öffentliches Bauwesen|Baupolitik|Energie|Gesundheit|soziale Sicherheit|junger Mensch|soziale Sicherheit|See- und Binnenschiffsverkehr|Tourismus|Opferhilfe|Strafrecht		Beschäftigung und Arbeitsbedingungen|Tourismus|Agrarerzeugnisse und Lebensmittel|Informatik|Information und Informationsverarbeitung|Bauindustrie und öffentliches Bauwesen|Baupolitik|Energie|Gesundheit|soziale Sicherheit|junger Mensch|soziale Sicherheit|See- und Binnenschiffsverkehr|Tourismus|Opferhilfe|Strafrecht
2010-08-25		Exekutive|Misstrauensantrag|Öffentliche Finanzen und Haushaltspolitik|Verfassung	Energie|Behinderter|Informatik|Information und Informationsverarbeitung|Wohnungspolitik|Umwelt|Elektrizitätsindustrie|Handel|Industrie|Unternehmen und Wettbewerb|soziale Sicherheit|soziale Sicherheit|soziale Sicherheit|Agrarerzeugnisse und Lebensmittel|Gesundheit|Land- und Forstwirtschaft, Fischerei|Einkommen|Steuerwesen|Verwaltung und Entlohnung des Personals|Exekutive|Misstrauensantrag|Öffentliche Finanzen und Haushaltspolitik|Verfassung	Öffentliche Finanzen und Haushaltspolitik|Verfassung|Exekutive|Misstrauensantrag|Öffentliche Finanzen und Haushaltspolitik|Verfassung|Einkommen|Finanzwesen|Steuerwesen|Verwaltung und Entlohnung des Personals			
2010-09-22		Finanzwesen|Straßenverkehr|Verwaltungsrecht|Tiermedizin|Tierschutz|Tourismus|Preis|Straßenverkehr|Haushaltskontrolle|Verteidigung|Preis|Straßenverkehr|Grenze|öffentliche Sicherheit|Verteidigung|Exekutive|Misstrauensantrag|Familie|Föderalismus|Gliedstaat	soziale Sicherheit|Agrarerzeugnisse und Lebensmittel|Land- und Forstwirtschaft, Fischerei|Familienleistungsausgleich|Gesundheit|junger Mensch|Agrarerzeugnisse und Lebensmittel|Europäische Union|Verkehr|Tiermedizin|Tierschutz|Agrarerzeugnisse und Lebensmittel|Land- und Forstwirtschaft, Fischerei|Bildung|Frau|Gleichbehandlung|Organisation des Unterrichtswesens|Elektrizitäts- und Kernkraftindustrie|Preis|Schienentransport|Sozialpolitik|Bildung|Organisation des Unterrichtswesens|Öffentliche Finanzen und Haushaltspolitik|Verfassung|Beschäftigung und Arbeitsbedingungen|Sozialpolitik|Familienleistungsausgleich	Finanzwesen|Gesetzgebungsverfahren|Umwelt|Verwaltungsrecht|Finanzwesen|Gesetzgebungsverfahren|Familie|Schienentransport|Bildung|Organisation des Unterrichtswesens|Straßenverkehr|Umwelt|Finanzwesen|Gesetzgebungsverfahren|Bürgerliches Recht|soziale Sicherheit|Europäische Union|Menschenrechte|Arbeitsrecht|Familie|Bildung|Forschung und geistiges Eigentum|Öffentliche Finanzen und Haushaltspolitik|Organisation des Unterrichtswesens|Wissenschaften|Familie			
2010-10-05	Gerichtswesen|Strafrecht|Gerichtswesen|Strafrecht|Gerichtswesen|Strafrecht	Geschäftsordnung des Parlaments|partizipative Demokratie|Verteidigung|direkt gewählte Kammer|Exekutive|Gliedstaat|Verfassung|Zweite Kammer|Verteidigung|Verwaltungsreform	Wohnungspolitik|Energie|Gesundheit|Versicherungswesen|Finanzwesen|Steuerwesen	Europäische Union|Tiermedizin|Tierschutz|Tiermedizin|Tierschutz|Bürgerliches Recht|soziale Sicherheit|Gesundheit|Land- und Forstwirtschaft, Fischerei|Familie|Gliedstaat|junger Mensch|Sozialpolitik|Verfassung|Bildung|Forschung und geistiges Eigentum|Öffentliche Finanzen und Haushaltspolitik|Organisation des Unterrichtswesens|Wissenschaften|Verteidigung			
2010-10-12		Bildung|Organisation des Unterrichtswesens	Bildung|Organisation des Unterrichtswesens	Bildung|Organisation des Unterrichtswesens	Bildung|Organisation des Unterrichtswesens		Bildung|Organisation des Unterrichtswesens
2010-10-14		Informatik|Information und Informationsverarbeitung|junger Mensch|Strafrecht|Informatik|Information und Informationsverarbeitung|Strafrecht		Informatik|Information und Informationsverarbeitung|Strafrecht	Informatik|Information und Informationsverarbeitung|Strafrecht		Informatik|Information und Informationsverarbeitung|Strafrecht
2010-10-20		Kulturpolitik|Kunst|ausländischer Staatsangehöriger|partizipative Demokratie|ausländischer Staatsangehöriger|partizipative Demokratie|ausländischer Staatsangehöriger|partizipative Demokratie|Flüchtling|partizipative Demokratie|Beschäftigung und Arbeitsbedingungen|Tourismus|Beschäftigung und Arbeitsbedingungen|Gesundheit|soziale Sicherheit	Exekutive|Haushaltsplan|Verfassung|direkt gewählte Kammer|Exekutive|Haushaltsplan|Verfassung|Informatik|Information und Informationsverarbeitung|Kulturpolitik|Kunst	Einkommen|Öffentlicher Sektor|Verwaltung und Entlohnung des Personals|Land- und Forstwirtschaft, Fischerei|Kulturpolitik|Kunst|soziale Sicherheit|Sozialpolitik|ausländischer Staatsangehöriger|junger Mensch|öffentliche Sicherheit|Öffentlicher Sektor|Exekutive|Misstrauensantrag|Frau|Gesundheit|Gleichbehandlung|Öffentlicher Sektor|soziale Sicherheit|Sozialpolitik|Gesundheit|junger Mensch|soziale Sicherheit|Exekutive|Misstrauensantrag|Öffentliche Finanzen und Haushaltspolitik|Verfassung|Forschung und geistiges Eigentum|Hochschulausbildung|Öffentliche Finanzen und Haushaltspolitik|Wissenschaften	Kulturpolitik|Kunst|Gesundheit|Agrarerzeugnisse und Lebensmittel|Umwelt|Agrarerzeugnisse und Lebensmittel|Umwelt		Kulturpolitik|Kunst|Gesundheit|Agrarerzeugnisse und Lebensmittel|Umwelt|Agrarerzeugnisse und Lebensmittel|Umwelt
2010-10-21	Steuerwesen|Steuerwesen	soziale Sicherheit|Sozialpolitik|soziale Sicherheit|Gesundheit|Agrarerzeugnisse und Lebensmittel|Straßenverkehr|Familie|Straßenverkehr|Familie|Elektrizitäts- und Kernkraftindustrie|Umwelt|Europäische Union|Land- und Forstwirtschaft, Fischerei|Exekutive|Misstrauensantrag	Elektrizitäts- und Kernkraftindustrie|Steuerwesen|Steuerwesen|öffentliche Verwaltung|öffentlicher Dienst|Umwelt|Steuerwesen|Steuerwesen|Tiermedizin|Tierschutz|Umwelt|Vereinsleben|Versammlungsfreiheit|Geschäftsordnung des Parlaments|Haushaltskontrolle|öffentliche Verwaltung|öffentlicher Dienst|Strafrecht|Elektrizitäts- und Kernkraftindustrie|Umwelt|Elektrizitäts- und Kernkraftindustrie|Umwelt|Elektrizitäts- und Kernkraftindustrie|soziale Sicherheit|Beschäftigung und Arbeitsbedingungen|Europäische Union|Land- und Forstwirtschaft, Fischerei	Abfall|Abfallwirtschaft|Energie|Land- und Forstwirtschaft, Fischerei|Tourismus|Umwelt|Agrarerzeugnisse und Lebensmittel|Land- und Forstwirtschaft, Fischerei|Einkommen|namentliche Abstimmung|Verwaltung und Entlohnung des Personals|Elektrizitäts- und Kernkraftindustrie	Straßenverkehr|Elektrizitäts- und Kernkraftindustrie		Straßenverkehr|Elektrizitäts- und Kernkraftindustrie
2010-11-03					Steuerwesen|Steuerwesen		Steuerwesen|Steuerwesen
2010-11-04					Europäische Union|Grenze|Vereinte Nationen		Europäische Union|Grenze|Vereinte Nationen
2010-11-17		Land- und Forstwirtschaft, Fischerei|Energie|Straßen- und Brückenbau|Haushaltskontrolle|namentliche Abstimmung|Steuerwesen|Straßen- und Brückenbau	Energie|Exekutive|Misstrauensantrag|Haushaltskontrolle|Schienentransport	Straßenverkehr|Behinderter|Sozialpolitik|Forschung und geistiges Eigentum|Wissenschaften|Gesundheit|Energie|Bergbau|Ausbildungsbeihilfe|Wohnungspolitik|Bürgerliches Recht|Haushaltskontrolle|Schienentransport			
2010-11-18	Einkommen|Fernsehen|Hörfunk|Verwaltung und Entlohnung des Personals|Einkommen|Fernsehen|Hörfunk|Verwaltung und Entlohnung des Personals|Einkommen|Fernsehen|Hörfunk|Verwaltung und Entlohnung des Personals	Wohnungspolitik|Beschäftigung und Arbeitsbedingungen|Gesundheit|Tourismus|diplomatische Beziehungen	Europäische Union|Familienleistungsausgleich|Energie|Informatik|Information und Informationsverarbeitung|Post- und Fernmeldewesen|Verkehr|Einkommen|Familie|Verwaltung und Entlohnung des Personals|Bauindustrie und öffentliches Bauwesen|Baupolitik|Steuerwesen|Ausweis|Schienentransport|Tourismus|Europäische Union|Land- und Forstwirtschaft, Fischerei|öffentliches Eigentum|Verteidigung|Familie|Familienleistungsausgleich|Europäische Union	Ausweis|Tourismus|Hochschulausbildung|Öffentliche Finanzen und Haushaltspolitik|Familienleistungsausgleich|Forschung und geistiges Eigentum|Öffentliche Finanzen und Haushaltspolitik|Wissenschaften	Ausweis|Tourismus|Europäische Union|Menschenrechte		Ausweis|Tourismus|Europäische Union|Menschenrechte
2010-11-24					Straßenverkehr|Verwaltungsrecht		Straßenverkehr|Verwaltungsrecht
2010-11-30	Europäische Union|Informatik|Information und Informationsverarbeitung|Land- und Forstwirtschaft, Fischerei	soziale Sicherheit|ausländischer Staatsangehöriger|Föderalismus|Gliedstaat|Informatik|Information und Informationsverarbeitung|Strafrecht|junger Mensch|Strafrecht|Europäische Union|Strafrecht	Gesundheit|Tabak|öffentliche Verwaltung|öffentlicher Dienst|Behinderter|Beschäftigung und Arbeitsbedingungen|Informatik|Information und Informationsverarbeitung|junger Mensch|Strafrecht	Tourismus|Forschung und geistiges Eigentum|Steuerwesen|Wissenschaften|Bürgerliches Recht	Strafrecht|Energie|Europäische Union|Strafrecht		Strafrecht|Energie|Europäische Union|Strafrecht
2010-12-01		junger Mensch|Strafrecht	Beschäftigung und Arbeitsbedingungen|Agrarerzeugnisse und Lebensmittel|soziale Sicherheit		Abfall|Abfallwirtschaft		Abfall|Abfallwirtschaft
2010-12-20		namentliche Abstimmung|Steuerwesen|Gliedstaat|Politische Partei|direkt gewählte Kammer|Exekutive|Gliedstaat|Verfassung	Gerichtswesen|Steuerwesen|Steuerwesen|Tabak|direkt gewählte Kammer|Exekutive|namentliche Abstimmung|Steuerwesen	namentliche Abstimmung|namentliche Abstimmung|namentliche Abstimmung|namentliche Abstimmung|namentliche Abstimmung|namentliche Abstimmung|namentliche Abstimmung|namentliche Abstimmung|namentliche Abstimmung|namentliche Abstimmung|namentliche Abstimmung|namentliche Abstimmung|namentliche Abstimmung|namentliche Abstimmung|namentliche Abstimmung|namentliche Abstimmung|namentliche Abstimmung|namentliche Abstimmung|namentliche Abstimmung|namentliche Abstimmung|namentliche Abstimmung|namentliche Abstimmung|namentliche Abstimmung|namentliche Abstimmung			
2010-12-21		Beschäftigung und Arbeitsbedingungen|Frau|Gleichbehandlung|Gesundheit|soziale Sicherheit|Gesundheit|Bildung|Organisation des Unterrichtswesens|Sekundarstufe|Hochschulausbildung|Forschung und geistiges Eigentum|Wissenschaften|Verkehr|Museum|Behinderter|soziale Sicherheit|Hochschulausbildung|Gesundheit|Forschung und geistiges Eigentum|Wissenschaften	Europäische Union|Währungsbeziehungen|Währungsbeziehungen|Steuerwesen|Tabak|Verfassungsgerichtsbarkeit|Verwaltungsgerichtsbarkeit|öffentliche Sicherheit|öffentliche Verwaltung|öffentlicher Dienst|Behinderter|Darstellende Künste|Museum|Hochschulausbildung|namentliche Abstimmung|Verkehr|Haushaltskontrolle|öffentliche Sicherheit|öffentliche Verwaltung|öffentlicher Dienst|diplomatische Beziehungen|Politik der Zusammenarbeit|öffentliche Sicherheit|öffentliche Verwaltung|öffentlicher Dienst|Bauindustrie und öffentliches Bauwesen|Baupolitik|Behinderter|Steuerwesen|Hochschulausbildung|namentliche Abstimmung|öffentliche Sicherheit|öffentliche Verwaltung|öffentlicher Dienst|Verteidigung|soziale Sicherheit|Fernsehen|Hörfunk|Strafrecht|Hochschulausbildung|namentliche Abstimmung|Straßen- und Brückenbau|Schienentransport|diplomatische Beziehungen|Europäische Union|Verteidigung|Sekundarstufe|Verteidigung|Frau|Gleichbehandlung|Beschäftigung und Arbeitsbedingungen|Europäische Union|Informatik|Information und Informationsverarbeitung|Kulturpolitik|Kunst	Bauindustrie und öffentliches Bauwesen|Baupolitik|junger Mensch|Strafrecht|Gesundheit|junger Mensch|junger Mensch|Strafrecht|Politik der Zusammenarbeit|Öffentlicher Sektor|Behinderter|soziale Sicherheit|Politik der Zusammenarbeit|Bildung|Organisation des Unterrichtswesens|Forschung und geistiges Eigentum|Wissenschaften			
2010-12-22		Bürgerliches Recht|Forschung und geistiges Eigentum|Handel|Industrie|Unternehmen und Wettbewerb|Wissenschaften|ausländischer Staatsangehöriger|Hochschulausbildung|Behinderter|Beschäftigung und Arbeitsbedingungen|Tourismus|Gesundheit|Bildung|Organisation des Unterrichtswesens|Energie|Finanzwesen|Steuerwesen|Familie|Land- und Forstwirtschaft, Fischerei|Steuerwesen|Verwaltungsreform|Familie|Familie|Tourismus	Steuerwesen|Steuerwesen|soziale Sicherheit|Wirtschaft|Forschung und geistiges Eigentum|Verwaltungsorganisation|Wissenschaften|Land- und Forstwirtschaft, Fischerei|Familienleistungsausgleich|Land- und Forstwirtschaft, Fischerei|Familienleistungsausgleich|Finanzausgleich|Einkommen|Verwaltung und Entlohnung des Personals|Europäische Union|Währungsbeziehungen	Agrarerzeugnisse und Lebensmittel|Tiermedizin|Tierschutz|Forschung und geistiges Eigentum|Wissenschaften|Familie|Steuerwesen|Familienleistungsausgleich|Land- und Forstwirtschaft, Fischerei	Handel|Industrie|Unternehmen und Wettbewerb|Abfall|Abfallwirtschaft|Menschenrechte|Strafrecht|Steuerwesen		Handel|Industrie|Unternehmen und Wettbewerb|Abfall|Abfallwirtschaft|Menschenrechte|Strafrecht|Steuerwesen
2011-01-20	öffentliche Verwaltung|öffentlicher Dienst|Preis|Steuerwesen|Land- und Forstwirtschaft, Fischerei|Tiermedizin|Tierschutz	öffentliche Sicherheit|Abfall|Abfallwirtschaft|Europäische Union|Handel|Industrie|Unternehmen und Wettbewerb|Menschenrechte|Politik der Zusammenarbeit|Gesundheit|Strafrecht|Gesetzgebungsverfahren|Strafrecht|Gliedstaat|junger Mensch|Gliedstaat|junger Mensch|Geschäftsordnung des Parlaments	Exekutive|Öffentliche Finanzen und Haushaltspolitik|Verfassung|Verteidigung|junger Mensch|Exekutive|Misstrauensantrag|Verteidigung|Agrarerzeugnisse und Lebensmittel|Land- und Forstwirtschaft, Fischerei|Tiermedizin|Tierschutz|Agrarerzeugnisse und Lebensmittel|Handel|Industrie|Unternehmen und Wettbewerb|Geschäftsordnung des Parlaments	Agrarerzeugnisse und Lebensmittel|Gesundheit|Wahl|Land- und Forstwirtschaft, Fischerei|Geschäftsordnung des Parlaments|Haushaltskontrolle|Museum|Zivildienst|Familie|Gesundheit|junger Mensch|Agrarerzeugnisse und Lebensmittel|Handel|Industrie|Unternehmen und Wettbewerb|Gerichtswesen|Opferhilfe|namentliche Abstimmung|Gerichtswesen|Opferhilfe|Land- und Forstwirtschaft, Fischerei|Umwelt|Gerichtswesen|Land- und Forstwirtschaft, Fischerei|Tiermedizin|Tierschutz|Geschäftsordnung des Parlaments	Bauindustrie und öffentliches Bauwesen|Baupolitik|Behinderter|Bildung|Organisation des Unterrichtswesens|Gesundheit|Handel|Industrie|Unternehmen und Wettbewerb		Bauindustrie und öffentliches Bauwesen|Baupolitik|Behinderter|Bildung|Organisation des Unterrichtswesens|Gesundheit|Handel|Industrie|Unternehmen und Wettbewerb
2011-02-04		Handel|Industrie|Unternehmen und Wettbewerb|Agrarerzeugnisse und Lebensmittel|Land- und Forstwirtschaft, Fischerei|Handel|Industrie|Land- und Forstwirtschaft, Fischerei|Unternehmen und Wettbewerb|Exekutive|Misstrauensantrag|Verteidigung	Agrarerzeugnisse und Lebensmittel|Land- und Forstwirtschaft, Fischerei|Tiermedizin|Tierschutz|Straßen- und Brückenbau|Europäische Union|Sozialpolitik|Steuerwesen|Vereinsleben|Versammlungsfreiheit|partizipative Demokratie|Verfassung|Verteidigung|Europäische Union|Handel|Industrie|Unternehmen und Wettbewerb|Exekutive|Verfassung|Verteidigung|Agrarerzeugnisse und Lebensmittel|Tiermedizin|Tierschutz|Öffentliche Finanzen und Haushaltspolitik|Verteidigung|Exekutive|Misstrauensantrag|Verteidigung|öffentliche Verwaltung|öffentlicher Dienst|Verteidigung	Handel|Industrie|Land- und Forstwirtschaft, Fischerei|Unternehmen und Wettbewerb|Land- und Forstwirtschaft, Fischerei|Tiermedizin|Tierschutz|Land- und Forstwirtschaft, Fischerei|Frau|Gleichbehandlung|Parlamentsdebatte|partizipative Demokratie|Verteidigung|Bibliothek|Frau|Gleichbehandlung|Exekutive|Misstrauensantrag|Verteidigung|Verteidigung|Zivildienst	Europäische Union|Internationale Beziehungen|Staatsangehöriger		Europäische Union|Internationale Beziehungen|Staatsangehöriger
2011-03-01		Land- und Forstwirtschaft, Fischerei|Gesundheit|Gesundheit|soziale Sicherheit|Sozialpolitik|direkt gewählte Kammer|Arbeitsrecht|öffentliche Verwaltung|öffentlicher Dienst|Sozialpolitik|Zivilschutz|Menschenrechte|Vereinte Nationen|ausländischer Staatsangehöriger|Hochschulausbildung	Familienleistungsausgleich|Frau|Gleichbehandlung|Öffentliche Finanzen und Haushaltspolitik|Bibliothek|Informatik|Information und Informationsverarbeitung|Kulturpolitik|Kunst|Öffentliche Finanzen und Haushaltspolitik|Land- und Forstwirtschaft, Fischerei|Beschäftigung und Arbeitsbedingungen|Europäische Union|Gesundheit|Land- und Forstwirtschaft, Fischerei|Beschäftigung und Arbeitsbedingungen|Geschäftsordnung des Parlaments|parlamentarischer Ausschuss|Gesundheit|ausländischer Staatsangehöriger|Primarstufe|Finanzwesen|Finanzwesen|Währungsbeziehungen|Bürgerliches Recht|soziale Sicherheit|Europäische Union|Flüchtling|Internationale Beziehungen|Verteidigung|Völkerrecht|Elektrizitäts- und Kernkraftindustrie|Energie	Geschäftsordnung des Parlaments|Haushaltskontrolle|öffentliches Eigentum|Familienleistungsausgleich|Bürgerliches Recht|Gesundheit|Elektrizitäts- und Kernkraftindustrie|Parlamentsdebatte|partizipative Demokratie|ethnische Gruppe|Menschenrechte|Gesundheit|soziale Sicherheit|Bildung|Europäische Union|Organisation des Unterrichtswesens|partizipative Demokratie|Verteidigung|Bibliothek|Gesundheit|Land- und Forstwirtschaft, Fischerei|Gliedstaat|Straßen- und Brückenbau|Gliedstaat|öffentliche Sicherheit|Verwaltungsrecht|Bildung|Organisation des Unterrichtswesens|Handel|Industrie|Tiermedizin|Tierschutz|Unternehmen und Wettbewerb|Land- und Forstwirtschaft, Fischerei|Internationale Beziehungen|Luftverkehr|Vereinte Nationen|Menschenrechte|Vereinte Nationen	Bibliothek|Land- und Forstwirtschaft, Fischerei|Abfall|Abfallwirtschaft|Umwelt|Internationale Beziehungen|Menschenrechte|Menschenrechte|Vereinte Nationen		Bibliothek|Land- und Forstwirtschaft, Fischerei|Abfall|Abfallwirtschaft|Umwelt|Internationale Beziehungen|Menschenrechte|Menschenrechte|Vereinte Nationen
2011-03-15		Behinderter|Finanzausgleich	Behinderter|Finanzausgleich	Behinderter|Finanzausgleich	Behinderter|Finanzausgleich		Behinderter|Finanzausgleich
2011-03-17					Post- und Fernmeldewesen		Post- und Fernmeldewesen
