Datum	A	F	G	N	S	T	V
2015-06-30			Strafrecht	Internationale Beziehungen|Trentino-Südtirol	Internationale Beziehungen|Trentino-Südtirol|Elektrizitäts- und Kernkraftindustrie|Internationale Beziehungen|Menschenrechte		Internationale Beziehungen|Trentino-Südtirol|Elektrizitäts- und Kernkraftindustrie|Internationale Beziehungen|Menschenrechte
2015-07-01					Informatik|Information und Informationsverarbeitung|soziale Sicherheit		Informatik|Information und Informationsverarbeitung|soziale Sicherheit
2015-07-07		Einkommen|Fernsehen|Hörfunk|Verwaltung und Entlohnung des Personals|Land- und Forstwirtschaft, Fischerei|Gesundheit|Verteidigung|öffentliche Sicherheit|Verteidigung|soziale Sicherheit|Verwaltungsrecht|Versicherungswesen|namentliche Abstimmung|Arbeitsrecht|junger Mensch|namentliche Abstimmung|Strafrecht	Bürgerliches Recht|Land- und Forstwirtschaft, Fischerei|Sport|Bildung|Organisation des Unterrichtswesens|Sekundarstufe|direkt gewählte Kammer|Steuerwesen|Flüchtling|junger Mensch|Finanzwesen|Wohnungspolitik|Exekutive|Flüchtling|Verwaltungsorganisation|namentliche Abstimmung|Steuerwesen|Forschung und geistiges Eigentum|Öffentliche Finanzen und Haushaltspolitik|Wissenschaften|Forschung und geistiges Eigentum|Wissenschaften|Steuerwesen|Familie|Steuerwesen|Verwaltungsreform|Steuerwesen|Bürgerliches Recht	direkt gewählte Kammer|Finanzwesen|Währungsbeziehungen|Gliedstaat|Verfassung|Informatik|Information und Informationsverarbeitung|öffentliche Verwaltung|öffentlicher Dienst|Bildung|Organisation des Unterrichtswesens|Elektrizitätsindustrie|öffentliche Verwaltung|öffentlicher Dienst|Bildung|Organisation des Unterrichtswesens|Familie|Steuerwesen|Strafrecht|junger Mensch|Vereinte Nationen|Verfassung|Völkerrecht|Finanzwesen	Steuerwesen|Forschung und geistiges Eigentum|Öffentliche Finanzen und Haushaltspolitik|Wissenschaften|Steuerwesen|Bürgerliches Recht|Steuerwesen|Steuerwesen|Familie|Steuerwesen|Verwaltungsreform	Informatik|Information und Informationsverarbeitung|junger Mensch|Strafrecht|Bürgerliches Recht|Strafrecht	Steuerwesen|Forschung und geistiges Eigentum|Öffentliche Finanzen und Haushaltspolitik|Wissenschaften|Steuerwesen|Bürgerliches Recht|Steuerwesen|Steuerwesen|Familie|Steuerwesen|Verwaltungsreform
2015-07-08		Trentino-Südtirol|Gesundheit|junger Mensch|Bildung|Organisation des Unterrichtswesens|Europäische Union|Familienleistungsausgleich|Ausbildungsbeihilfe|Menschenrechte|Land- und Forstwirtschaft, Fischerei	Internationale Beziehungen|Land- und Forstwirtschaft, Fischerei|Arbeitsrecht|Einkommen|Familie|Verwaltung und Entlohnung des Personals	soziale Sicherheit|Land- und Forstwirtschaft, Fischerei	Handel|Industrie|Tabak|Unternehmen und Wettbewerb|Internationale Beziehungen|Menschenrechte|Land- und Forstwirtschaft, Fischerei	Frau|Gleichbehandlung|soziale Sicherheit|Agrarerzeugnisse und Lebensmittel|Handel|Industrie|Unternehmen und Wettbewerb|Agrarerzeugnisse und Lebensmittel|Tourismus	Handel|Industrie|Tabak|Unternehmen und Wettbewerb|Internationale Beziehungen|Menschenrechte|Land- und Forstwirtschaft, Fischerei
2015-07-09		Einkommen|Fernsehen|Hörfunk|Verwaltung und Entlohnung des Personals|Haushaltskontrolle|Umwelt|junger Mensch|Europäische Union|Handel|Industrie|Unternehmen und Wettbewerb|Einkommen|Fernsehen|Hörfunk|Verwaltung und Entlohnung des Personals|Sekundarstufe|Kulturpolitik|Kunst|Haushaltskontrolle	Filmindustrie|Frau|Gleichbehandlung|junger Mensch|Bildung|Organisation des Unterrichtswesens|Vereinte Nationen	Fernsehen|Hörfunk|junger Mensch|Bildung|Organisation des Unterrichtswesens|Fernsehen|Hörfunk	junger Mensch|Öffentliche Finanzen und Haushaltspolitik	Bürgerliches Recht|Tiermedizin|Tierschutz|Agrarerzeugnisse und Lebensmittel|Gesundheit|Umwelt|junger Mensch|Straßenverkehr|Straßenverkehr|Bildung|Organisation des Unterrichtswesens	junger Mensch|Öffentliche Finanzen und Haushaltspolitik
2015-07-17			Europäische Union|Öffentliche Finanzen und Haushaltspolitik|Europäische Union|Öffentliche Finanzen und Haushaltspolitik|Europäische Union|Öffentliche Finanzen und Haushaltspolitik	öffentliche Verwaltung|öffentlicher Dienst			
2015-09-01		Familienleistungsausgleich	Beschäftigung und Arbeitsbedingungen|Frau|Gleichbehandlung|ausländischer Staatsangehöriger|Flüchtling|namentliche Abstimmung|Verfassung|Frau|Gleichbehandlung|Öffentliche Finanzen und Haushaltspolitik|soziale Sicherheit|diplomatische Beziehungen|Europäische Union|Flüchtling	öffentliche Verwaltung|öffentlicher Dienst|Flüchtling|öffentliche Verwaltung|öffentlicher Dienst|Geschäftsordnung des Parlaments|Haushaltskontrolle|soziale Sicherheit|Energie|Flüchtling|junger Mensch|diplomatische Beziehungen|Flüchtling|diplomatische Beziehungen|Europäische Union|Flüchtling	ausländischer Staatsangehöriger|öffentliche Sicherheit|ausländischer Staatsangehöriger|Flüchtling|namentliche Abstimmung|Verfassung|Europäische Union|Flüchtling	Grenze|Strafrecht|Vereinte Nationen	ausländischer Staatsangehöriger|öffentliche Sicherheit|ausländischer Staatsangehöriger|Flüchtling|namentliche Abstimmung|Verfassung|Europäische Union|Flüchtling
2015-09-23		Land- und Forstwirtschaft, Fischerei|Sozialpolitik|Exekutive|öffentliche Sicherheit|Verfassung|Frau|Gesundheit|Gleichbehandlung|Bildung|Gesetzgebungsverfahren|Organisation des Unterrichtswesens|Vereinsleben|Versammlungsfreiheit|Beschäftigung und Arbeitsbedingungen|Sport|Museum|Verfassung|Europäische Union|Wirtschaft|Sport|Exekutive|öffentliche Sicherheit|Verfassung|Gesundheit|Verfassung	Sekundarstufe|Politik der Zusammenarbeit|Flüchtling|Primarstufe|Familie|diplomatische Beziehungen|Flüchtling|Umwelt|Verfassung|Arbeitslosenversicherung|Forschung und geistiges Eigentum|Wissenschaften|Steuerwesen|Finanzwesen|Handel|Industrie|Unternehmen und Wettbewerb|Umwelt|Wasser|Wasserbewirtschaftung|Verfassung|Gesundheit|Verfassung|Luftverkehr	Flüchtling|Verwaltungsreform|soziale Sicherheit|Straßenverkehr|Abfall|Abfallwirtschaft|Bildung|Flüchtling|Öffentliche Finanzen und Haushaltspolitik|Organisation des Unterrichtswesens|Bildung|Organisation des Unterrichtswesens|Land- und Forstwirtschaft, Fischerei|Verwaltungsorganisation|soziale Sicherheit|öffentliche Verwaltung|öffentlicher Dienst|Verfassung|soziale Sicherheit|Arbeitsrecht|Steuerwesen|öffentliche Verwaltung|öffentlicher Dienst|soziale Sicherheit|Verwaltungsrecht|Flüchtling|Verfassung	öffentliche Sicherheit|Strafrecht	Verfassung|Verfassung	öffentliche Sicherheit|Strafrecht
2015-09-24		öffentliche Verwaltung|öffentlicher Dienst|Exekutive|Misstrauensantrag	Handel|Industrie|Unternehmen und Wettbewerb|Verwaltungsreform|Flüchtling|Vereinte Nationen		Flüchtling|Vereinte Nationen	Flüchtling|Flüchtling|Vereinte Nationen|Flüchtling|Verwaltungsrecht|Flüchtling|Grenze	Flüchtling|Vereinte Nationen
2015-10-01		Gesundheit|Gesundheit	Gesundheit|Gesundheit	Gesundheit	Gesundheit|Gesundheit	Gesundheit|Gesundheit	Gesundheit|Gesundheit
2015-10-06		Wasserbewirtschaftung|Gesundheit|Gesundheit|Gesundheit|Bildung|Organisation des Unterrichtswesens|Sekundarstufe	Bildung|Organisation des Unterrichtswesens|Bildung|Organisation des Unterrichtswesens|Bildung|Organisation des Unterrichtswesens|Bildung|Exekutive|Organisation des Unterrichtswesens	Familie|Primarstufe|Bildung|Organisation des Unterrichtswesens|soziale Sicherheit|Bildung|Organisation des Unterrichtswesens|Familie|Primarstufe|Bildung|Organisation des Unterrichtswesens|Bildung|Organisation des Unterrichtswesens		Bildung|Haushaltskontrolle|Organisation des Unterrichtswesens|Verwaltungsorganisation|soziale Sicherheit|Bildung|Organisation des Unterrichtswesens	
2015-10-14		Sozialpolitik|Sozialpolitik|Arbeitsrecht|Frau|Gleichbehandlung	Bürgerliches Recht|Gliedstaat|Öffentliche Finanzen und Haushaltspolitik|Verfassung|Öffentliche Finanzen und Haushaltspolitik|Umwelt|Steuerwesen|Tourismus|Politik der Zusammenarbeit|Vereinsleben|Versammlungsfreiheit|Flüchtling|Arbeitslosenversicherung|Frau|Gleichbehandlung|Vereinsleben|Versammlungsfreiheit|Öffentliche Finanzen und Haushaltspolitik|Umwelt	ausländischer Staatsangehöriger|Flüchtling|Statistik|Apotheke|Beschäftigung und Arbeitsbedingungen|Öffentliche Finanzen und Haushaltspolitik|Umwelt|Arbeitsrecht|Beschäftigung und Arbeitsbedingungen|Tourismus|Berufsverband		Kulturpolitik|Kunst|Öffentliche Finanzen und Haushaltspolitik|Verteidigung|Öffentliche Finanzen und Haushaltspolitik|Verteidigung|Vereinsleben|Versammlungsfreiheit|Abfall|Abfallwirtschaft|Elektrizitäts- und Kernkraftindustrie|Europäische Union|Umwelt|Flüchtling|Agrarerzeugnisse und Lebensmittel|Agrarerzeugnisse und Lebensmittel	
2015-10-15		Bildung|Organisation des Unterrichtswesens|Beschäftigung und Arbeitsbedingungen|Sport|Bürgerliches Recht|Strafrecht|Bildung|Organisation des Unterrichtswesens|Bürgerliches Recht|Agrarerzeugnisse und Lebensmittel|soziale Sicherheit|Tourismus|Luftverkehr|namentliche Abstimmung|Verteidigung	Öffentliche Finanzen und Haushaltspolitik|Umwelt|Umwelt	Flüchtling|Verteidigung		soziale Sicherheit|soziale Sicherheit|Beschäftigung und Arbeitsbedingungen|Sozialpolitik	
2015-10-30					Straßenverkehr		Straßenverkehr
2015-11-11		Grenze|namentliche Abstimmung	Zivildienst|Beschäftigung und Arbeitsbedingungen|Flüchtling|Steuerwesen|Bildung|Flüchtling|Organisation des Unterrichtswesens|Bildung|Organisation des Unterrichtswesens|Fernsehen|Hörfunk	Bildung|Organisation des Unterrichtswesens|Bildung|Organisation des Unterrichtswesens|öffentliche Sicherheit|Arbeitsrecht|Gerichtswesen|Gerichtswesen|öffentliche Verwaltung|öffentlicher Dienst|Familienleistungsausgleich|Steuerwesen|Handel|Industrie|Unternehmen und Wettbewerb|Gerichtswesen|Steuerwesen|Wohnungspolitik|Presse|Steuerwesen|öffentliche Sicherheit|Bildung|Organisation des Unterrichtswesens|Arbeitsrecht|Straßenverkehr|Bildung|Organisation des Unterrichtswesens|öffentliche Sicherheit|Verkehr		Straßenverkehr	
2015-11-12		Agrarerzeugnisse und Lebensmittel|Handel|Industrie|Unternehmen und Wettbewerb|Beschäftigung und Arbeitsbedingungen|Einkommen|Verwaltung und Entlohnung des Personals|Handel|Industrie|Unternehmen und Wettbewerb|Flüchtling|Ausweis|Bauindustrie und öffentliches Bauwesen|Baupolitik|Flüchtling|Frau|Gleichbehandlung|junger Mensch|Gesetzgebungsverfahren|Verfassung|Ausweis|Bauindustrie und öffentliches Bauwesen|Baupolitik|Handel|Industrie|Unternehmen und Wettbewerb	Flüchtling|Frau|Gleichbehandlung|junger Mensch|Handel|Industrie|Informatik|Information und Informationsverarbeitung|Unternehmen und Wettbewerb|öffentliche Verwaltung|öffentlicher Dienst|Umwelt|Umwelt|Finanzwesen	Arbeitsrecht|Frau|Gleichbehandlung|Flüchtling|Frau|Gleichbehandlung|junger Mensch|Luftverkehr|Steuerwesen|Geschäftsordnung des Parlaments|Gesetzgebungsverfahren|Geschäftsordnung des Parlaments|Verfassung|soziale Sicherheit	Flüchtling|Frau|Gleichbehandlung|junger Mensch|Umwelt	Straßenverkehr|Land- und Forstwirtschaft, Fischerei|Agrarerzeugnisse und Lebensmittel|Handel|Industrie|Unternehmen und Wettbewerb|Flüchtling|Frau|Gleichbehandlung|junger Mensch|Straßenverkehr|Agrarerzeugnisse und Lebensmittel|Zivilschutz|Handel|Industrie|Tiermedizin|Tierschutz|Unternehmen und Wettbewerb|öffentliche Verwaltung|öffentlicher Dienst|Land- und Forstwirtschaft, Fischerei|Agrarerzeugnisse und Lebensmittel|Zivilschutz	Flüchtling|Frau|Gleichbehandlung|junger Mensch|Umwelt
2015-11-24		öffentliche Verwaltung|öffentlicher Dienst|soziale Sicherheit|Agrarerzeugnisse und Lebensmittel|Agrarerzeugnisse und Lebensmittel|Haushaltskontrolle|soziale Sicherheit|Strafrecht|Verwaltungsorganisation|Einkommen|öffentliche Sicherheit|öffentliche Verwaltung|öffentlicher Dienst|Verwaltung und Entlohnung des Personals|ethnische Gruppe|Politik der Zusammenarbeit|Flüchtling	Vereinte Nationen|Sport|Gesundheit|soziale Sicherheit|namentliche Abstimmung|Politik der Zusammenarbeit|Presse|Politik der Zusammenarbeit|Presse|Haushaltskontrolle	Verfassungsgerichtsbarkeit|Verwaltungsgerichtsbarkeit|Politik der Zusammenarbeit|Haushaltskontrolle	Wahl	Politik der Zusammenarbeit	Wahl
2015-11-25		Familienleistungsausgleich|Frau|Gleichbehandlung|Familienleistungsausgleich|namentliche Abstimmung|öffentliche Verwaltung|öffentlicher Dienst	Bildung|Organisation des Unterrichtswesens|Vereinte Nationen	Bildung|Organisation des Unterrichtswesens|Bildung|Organisation des Unterrichtswesens|Tourismus|Bildung|Organisation des Unterrichtswesens|Bildung|Organisation des Unterrichtswesens|soziale Sicherheit|Familienleistungsausgleich|Bildung|Organisation des Unterrichtswesens|Beschäftigung und Arbeitsbedingungen|Flüchtling|Bildung|Organisation des Unterrichtswesens		Agrarerzeugnisse und Lebensmittel|Bildung|Organisation des Unterrichtswesens	
2015-11-26		Sport|Arbeitsrecht|Sport|Flüchtling|Frau|Gesundheit|Gleichbehandlung|namentliche Abstimmung|Sozialpolitik|Schienentransport|Verteidigung|Steuerwesen|Tourismus|Steuerwesen|Verteidigung|Grenze|Verteidigung|namentliche Abstimmung|Steuerwesen|Steuerwesen|Tiermedizin|Tierschutz|Luftverkehr|Steuerwesen|Handel|Industrie|namentliche Abstimmung|Steuerwesen|Unternehmen und Wettbewerb|Europäische Union|Schienentransport|namentliche Abstimmung|soziale Sicherheit|Steuerwesen	Handel|Industrie|Unternehmen und Wettbewerb|Internationale Beziehungen|Internationale Beziehungen|Frau|Gesundheit|Gleichbehandlung|Steuerwesen|Forschung und geistiges Eigentum|Öffentliche Finanzen und Haushaltspolitik|Wissenschaften|Verteidigung|Umwelt	Politik der Zusammenarbeit|Internationale Beziehungen|Frau|Gesundheit|Gleichbehandlung|Steuerwesen|soziale Sicherheit|Verteidigung|Forschung und geistiges Eigentum|Öffentliche Finanzen und Haushaltspolitik|Wissenschaften	Internationale Beziehungen|Internationale Beziehungen|Frau|Gesundheit|Gleichbehandlung|Verteidigung|Frau|Gleichbehandlung|Öffentliche Finanzen und Haushaltspolitik	Sport|Flüchtling|Grenze|partizipative Demokratie|Straßenverkehr|Umwelt|Sport|Tiermedizin|Tierschutz|Preis|Straßenverkehr|Staatsangehöriger|öffentliche Sicherheit|Steuerwesen|Frau|Gesundheit|Gleichbehandlung|Strafrecht|Versicherungswesen|Handel|Industrie|Steuerwesen|Unternehmen und Wettbewerb|Verwaltungsreform|Steuerwesen|Verteidigung|Öffentliche Finanzen und Haushaltspolitik|Verteidigung|Wirtschaft|Kulturpolitik|Kunst|Öffentliche Finanzen und Haushaltspolitik|Verteidigung	Internationale Beziehungen|Internationale Beziehungen|Frau|Gesundheit|Gleichbehandlung|Verteidigung|Frau|Gleichbehandlung|Öffentliche Finanzen und Haushaltspolitik
2015-12-03					öffentliche Verwaltung|öffentlicher Dienst|Arbeitsrecht		öffentliche Verwaltung|öffentlicher Dienst|Arbeitsrecht
2015-12-09		Steuerwesen|Wohnungspolitik|Steuerwesen|Wohnungspolitik	Steuerwesen	Gesundheit|Bildung|Organisation des Unterrichtswesens|Gerichtswesen|junger Mensch|Strafrecht|Informatik|Information und Informationsverarbeitung|Handel|Industrie|Unternehmen und Wettbewerb|Finanzwesen|Bildung|Organisation des Unterrichtswesens		Steuerwesen|Vereinsleben|Versammlungsfreiheit	
2015-12-10		Politik der Zusammenarbeit|Staatsangehöriger|Finanzwesen|Arbeitsrecht|Verfassung|Verwaltungskontrolle|Finanzwesen|öffentliche Verwaltung|öffentlicher Dienst|Finanzwesen|Arbeitsrecht|namentliche Abstimmung|Europäische Union|namentliche Abstimmung	öffentliche Verwaltung|öffentlicher Dienst|öffentliche Sicherheit|Vereinte Nationen|Behinderter|Zivilschutz|öffentliche Verwaltung|öffentlicher Dienst|Arbeitsrecht|Politik der Zusammenarbeit|Arbeitsrecht|Gesundheit	soziale Sicherheit|Bildung|Organisation des Unterrichtswesens|öffentliche Verwaltung|öffentlicher Dienst|Geschäftsordnung des Parlaments|Gesetzgebungsverfahren|Verfassung|Familienleistungsausgleich|öffentliche Verwaltung|öffentlicher Dienst|Bildung|Organisation des Unterrichtswesens	Geschäftsordnung des Parlaments|Gesetzgebungsverfahren|Verfassung|Handel|Industrie|Unternehmen und Wettbewerb|öffentliche Verwaltung|öffentlicher Dienst|Vereinte Nationen	Handel|Industrie|Tiermedizin|Tierschutz|Unternehmen und Wettbewerb|Geschäftsordnung des Parlaments|Gesetzgebungsverfahren|Verfassung|Straßenverkehr|Gesundheit|Statistik|Tiermedizin|Tierschutz|Agrarerzeugnisse und Lebensmittel|Handel|Industrie|Unternehmen und Wettbewerb	Geschäftsordnung des Parlaments|Gesetzgebungsverfahren|Verfassung|Handel|Industrie|Unternehmen und Wettbewerb|öffentliche Verwaltung|öffentlicher Dienst|Vereinte Nationen
2016-01-27		Exekutive|Forschung und geistiges Eigentum|Verwaltungsorganisation|Wissenschaften|Finanzwesen|soziale Sicherheit|Beschäftigung und Arbeitsbedingungen|Gesundheit|Bildung|öffentliche Sicherheit|Organisation des Unterrichtswesens|Sport|Flüchtling|namentliche Abstimmung|Straßenverkehr|Flüchtling|Finanzwesen|soziale Sicherheit|Land- und Forstwirtschaft, Fischerei|Europäische Union|partizipative Demokratie	Elektrizitätsindustrie|Arbeitsrecht|Familie|Verwaltungsrecht|Verwaltungskontrolle|Umwelt|Land- und Forstwirtschaft, Fischerei|Sport|Steuerwesen|Bildung|Organisation des Unterrichtswesens|Gesetzgebungsverfahren|Politische Partei|Energie|Umwelt|Umwelt|Internationale Beziehungen|Menschenrechte|Vereinte Nationen	Familie|Forschung und geistiges Eigentum|Wissenschaften|Steuerwesen|Forschung und geistiges Eigentum|Wissenschaften|öffentliche Verwaltung|öffentlicher Dienst|Wahl|Exekutive|Bürgerliches Recht|Verwaltungsreform|Wohnungspolitik|Familie|soziale Sicherheit|Handel|Industrie|Unternehmen und Wettbewerb|Wohnungspolitik|Europäische Union|Bürgerliches Recht|Familie|öffentliche Verwaltung|öffentlicher Dienst	Elektrizitätsindustrie|Umwelt	Statistik|Verteidigung|Flüchtling|Primarstufe|Öffentliche Finanzen und Haushaltspolitik|Verteidigung|Apotheke|Flüchtling|Flüchtling|Öffentliche Finanzen und Haushaltspolitik|Verteidigung	Elektrizitätsindustrie|Umwelt
2016-01-28						Agrarerzeugnisse und Lebensmittel|Handel|Industrie|Unternehmen und Wettbewerb|Agrarerzeugnisse und Lebensmittel|Tourismus	
2016-02-24		Hochschulausbildung|Finanzwesen|soziale Sicherheit|Preis|Sport|Handel|Industrie|Unternehmen und Wettbewerb|Gesundheit|Gesundheit|Informatik|Information und Informationsverarbeitung|Tourismus|Finanzwesen|Verfassung|Währungsbeziehungen|Religion|Sekundarstufe|Kulturpolitik|Kunst|Verteidigung|Bildung|Organisation des Unterrichtswesens|Bildung|öffentliche Sicherheit|Organisation des Unterrichtswesens|Sport|Sekundarstufe|Verteidigung	Handel|Industrie|Unternehmen und Wettbewerb|Steuerwesen|Handel|Industrie|Unternehmen und Wettbewerb|soziale Sicherheit|Sozialpolitik|Handel|Industrie|Unternehmen und Wettbewerb|Elektrizitätsindustrie|Steuerwesen|Steuerwesen|Einkommen|Steuerwesen|Verwaltung und Entlohnung des Personals|Steuerwesen|Steuerwesen|Familie|Verwaltungsorganisation|Preis|Sport|Steuerwesen|Flüchtling|junger Mensch|Handel|Industrie|Unternehmen und Wettbewerb|Europäische Union|Informatik|Information und Informationsverarbeitung|Post- und Fernmeldewesen|Handel|Industrie|Unternehmen und Wettbewerb|Verwaltungsreform|Steuerwesen|Informatik|Information und Informationsverarbeitung|Tourismus|Steuerwesen|Filmindustrie|Frau|Gleichbehandlung|Bürgerliches Recht|Einkommen|Verwaltung und Entlohnung des Personals|Sekundarstufe|Bildung|öffentliche Verwaltung|öffentlicher Dienst|Organisation des Unterrichtswesens|Flüchtling|Frau|Gleichbehandlung|junger Mensch|Völkerrecht|Einkommen|Öffentlicher Sektor|Verwaltung und Entlohnung des Personals	Bildung|Organisation des Unterrichtswesens|Primarstufe|Finanzwesen|Haushaltskontrolle|soziale Sicherheit|ausländischer Staatsangehöriger|Bildung|Organisation des Unterrichtswesens|Politische Partei|öffentliche Verwaltung|öffentlicher Dienst|Preis|Sport|Bildung|Organisation des Unterrichtswesens|Bildung|Informatik|Information und Informationsverarbeitung|Organisation des Unterrichtswesens|Tourismus|Handel|Industrie|Unternehmen und Wettbewerb|Informatik|Information und Informationsverarbeitung|Tourismus|Hochschulausbildung|Fernsehen|Hörfunk|Exekutive|Sekundarstufe|soziale Sicherheit|Hochschulausbildung|soziale Sicherheit|Bildung|Organisation des Unterrichtswesens|Primarstufe|Exekutive|Politische Partei	Tourismus|Flüchtling|Grenze|öffentliche Sicherheit|Europäische Union|Tourismus|Internationale Beziehungen|Finanzwesen|Währungsbeziehungen	Agrarerzeugnisse und Lebensmittel|Flüchtling|Statistik|Preis|Sport|soziale Sicherheit|Informatik|Information und Informationsverarbeitung|Tourismus|Sekundarstufe|Primarstufe|soziale Sicherheit	Tourismus|Flüchtling|Grenze|öffentliche Sicherheit|Europäische Union|Tourismus|Internationale Beziehungen|Finanzwesen|Währungsbeziehungen
2016-03-02					Bauindustrie und öffentliches Bauwesen|Baupolitik		Bauindustrie und öffentliches Bauwesen|Baupolitik
2016-03-03					internationales Abkommen|Verfassung		internationales Abkommen|Verfassung
2016-03-08		Bildung|Frau|Gleichbehandlung|Organisation des Unterrichtswesens|Vereinfachung der Rechtsvorschriften|Verwaltungsreform|Strafrecht|Strafrecht|Strafrecht|soziale Sicherheit|Familie|soziale Sicherheit	Einkommen|Frau|Gleichbehandlung|soziale Sicherheit|Verwaltung und Entlohnung des Personals	Bürgerliches Recht|Informatik|Information und Informationsverarbeitung|Verwaltungsreform|Bürgerliches Recht|Informatik|Information und Informationsverarbeitung|Verwaltungsreform|Bürgerliches Recht|Frau|Gleichbehandlung|soziale Sicherheit|soziale Sicherheit|öffentliche Verwaltung|öffentlicher Dienst			
2016-03-09		Internationale Beziehungen|Trentino-Südtirol	Internationale Beziehungen|Vereinte Nationen|Internationale Beziehungen|Trentino-Südtirol		Flüchtling|Internationale Beziehungen|Vereinte Nationen|Internationale Beziehungen|Trentino-Südtirol	Internationale Beziehungen|Vereinte Nationen	Flüchtling|Internationale Beziehungen|Vereinte Nationen|Internationale Beziehungen|Vereinte Nationen|Internationale Beziehungen|Trentino-Südtirol|Internationale Beziehungen|Trentino-Südtirol
2016-03-16		Erwachsenenbildung|Abfall|Abfallwirtschaft|Einkommen|Verwaltung und Entlohnung des Personals|Europäische Union|Flüchtling|soziale Sicherheit	Einkommen|Steuerwesen|Verwaltung und Entlohnung des Personals|ausländischer Staatsangehöriger|Beschäftigung und Arbeitsbedingungen|Flüchtling|Gesundheit|Haushaltskontrolle|Steuerwesen|Forschung und geistiges Eigentum|Wissenschaften|direkt gewählte Kammer|Europäische Union	Forschung und geistiges Eigentum|Wissenschaften|Forschung und geistiges Eigentum|Wissenschaften|Flüchtling|öffentliche Verwaltung|öffentlicher Dienst|Finanzwesen|Finanzwesen|soziale Sicherheit|Steuerwesen|Wirtschaft|Verwaltungsreform|Steuerwesen	Apotheke	Agrarerzeugnisse und Lebensmittel|Handel|Industrie|Unternehmen und Wettbewerb|Agrarerzeugnisse und Lebensmittel|Tourismus|soziale Sicherheit|Sozialpolitik	Apotheke
2016-03-17		Einkommen|Verwaltung und Entlohnung des Personals|Abfall|Abfallwirtschaft|soziale Sicherheit|Vereinsleben|Versammlungsfreiheit|Vereinsleben|Versammlungsfreiheit|Hochschulausbildung|soziale Sicherheit|soziale Sicherheit|Tourismus|Flüchtling|Strafrecht|Vereinsleben|Versammlungsfreiheit|Wasserbau	Agrarerzeugnisse und Lebensmittel|Agrarerzeugnisse und Lebensmittel|soziale Sicherheit|Tourismus|Vereinte Nationen|Politik der Zusammenarbeit	Apotheke|soziale Sicherheit|Tourismus|Vereinte Nationen	Strafrecht|Gesundheit|Gerichtswesen	soziale Sicherheit|Tourismus|Agrarerzeugnisse und Lebensmittel	Strafrecht|Gesundheit|Gerichtswesen
2016-04-13					Tabak|Gesundheit|Tabak		Tabak|Gesundheit|Tabak
2016-04-18			Tiermedizin|Tierschutz|ethnische Gruppe|Parlamentsdebatte|Strafrecht	Bürgerliches Recht|Gliedstaat|Öffentliche Finanzen und Haushaltspolitik|Verfassung			
2016-04-27	Statistik|Gesundheit|Gesundheit	Tabak|Politik der Zusammenarbeit|Tabak|Sekundarstufe|soziale Sicherheit|Finanzwesen|Steuerwesen|soziale Sicherheit|Tabak	internationales Arbeitsrecht|Handel|Industrie|Unternehmen und Wettbewerb|öffentliche Sicherheit|Umwelt|Arbeitslosenversicherung|Föderalismus|Sozialpolitik|Umwelt|Bauindustrie und öffentliches Bauwesen|Baupolitik|Umwelt|Abfall|Abfallwirtschaft|Bildung|Organisation des Unterrichtswesens|Primarstufe|Gesundheit|junger Mensch|soziale Sicherheit|öffentliche Sicherheit|Land- und Forstwirtschaft, Fischerei|Gesundheit|junger Mensch|Haushaltskontrolle|Verfassung|Ausbildungsbeihilfe	soziale Sicherheit|Politik der Zusammenarbeit|Umwelt|Internationale Beziehungen|Wahl|Steuerwesen|Menschenrechte|Sozialpolitik|Sozialpolitik|Menschenrechte|Informatik|Information und Informationsverarbeitung|Sozialpolitik|Bildung|Organisation des Unterrichtswesens|Land- und Forstwirtschaft, Fischerei|Föderalismus|Sozialpolitik|Flüchtling|Informatik|Information und Informationsverarbeitung|Sozialpolitik|Flüchtling	Flüchtling	Gesundheit|Flüchtling|Gesundheit|Strafrecht|Flüchtling|Europäische Union|Flüchtling	Flüchtling
2016-04-28		Beschäftigung und Arbeitsbedingungen|Gliedstaat|Strafrecht|Finanzwesen|Buchprüfung	Frau|Gleichbehandlung|Sozialpolitik|Vereinte Nationen|Behinderter|Einkommen|Verwaltung und Entlohnung des Personals|Arbeitsrecht|Bürgerliches Recht|Steuerwesen	Vereinte Nationen|Arbeitslosenversicherung	Vereinte Nationen|Menschenrechte|Menschenrechte|Handel|Industrie|Unternehmen und Wettbewerb|Buchprüfung|Opferhilfe|Strafrecht	Energie|Steuerwesen|Umwelt	Vereinte Nationen|Menschenrechte|Menschenrechte|Handel|Industrie|Unternehmen und Wettbewerb|Buchprüfung|Opferhilfe|Strafrecht
2016-05-04		Land- und Forstwirtschaft, Fischerei|Öffentliche Finanzen und Haushaltspolitik|Wein|Weinbau	Land- und Forstwirtschaft, Fischerei|Öffentliche Finanzen und Haushaltspolitik|Wein|Weinbau		Land- und Forstwirtschaft, Fischerei|Land- und Forstwirtschaft, Fischerei|Öffentliche Finanzen und Haushaltspolitik|Wein|Weinbau	Land- und Forstwirtschaft, Fischerei|Öffentliche Finanzen und Haushaltspolitik|Wein|Weinbau	Land- und Forstwirtschaft, Fischerei|Land- und Forstwirtschaft, Fischerei|Öffentliche Finanzen und Haushaltspolitik|Wein|Weinbau
